model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
nCLNR,PubMed,600,512,0.8184,0.0111,-3.1769,0.0101,0.2326,0.0069
CLNR,PubMed,600,512,0.8284,0.0102,-1.9958,0.0497,0.1547,0.0029
bCLNR,PubMed,600,512,0.8292,0.0068,-1.6331,0.0891,0.1383,0.0061
dCLNR,PubMed,600,512,0.818,0.0016,-3.1827,0.006,0.2509,0.0156
CLNR-unif,PubMed,600,512,0.833,0.0052,-1.9591,0.0474,0.1512,0.0098
CLNR-align,PubMed,600,512,0.8292,0.0085,-1.9104,0.0608,0.1624,0.0116
nCLNR-align,PubMed,600,512,0.8158,0.0019,-3.184,0.0132,0.2395,0.013
GRACE,PubMed,1500,512,0.8122,0.0079,-2.8016,0.0771,0.1821,0.0162
CCA-SSG,PubMed,100,512,0.8116,0.0018,-0.3621,0.0128,0.0313,0.0024
