model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
CLNR,ogbn-arxiv,5000,512,0.7004,0.0017,-3.5021,0.006,0.1755,0.0017,5705874836.0173
nCLNR,ogbn-arxiv,5000,512,0.7022,0.0002,-3.487,0.0176,0.1665,0.0026,4519274575.1717
dCLNR,ogbn-arxiv,5000,512,0.7031,0.0007,-3.4893,0.0056,0.1684,0.0005,5573306180.3728
