model,dataset,epochs,out_dim,acc_mean,acc_std
nCLNR,Photo,100,64,0.9035,0.0045
nCLNR,Photo,100,126,0.9157,0.0055
nCLNR,Photo,100,256,0.925,0.0033
nCLNR,Photo,100,512,0.9297,0.0031
CLNR,Photo,100,64,0.9198,0.0041
CLNR,Photo,100,126,0.9244,0.0037
CLNR,Photo,100,256,0.9289,0.0042
CLNR,Photo,100,512,0.9321,0.003
