model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,CiteSeer,50,512,0.7295,0.0061,-2.3502,0.0363,0.1578,0.0069
nCLNR,CiteSeer,50,512,0.7202,0.0076,-3.7477,0.0082,0.3286,0.0147
CLNR,CiteSeer,50,512,0.7311,0.006,-2.3671,0.0569,0.1581,0.0076
bCLNR,CiteSeer,50,512,0.7311,0.0056,-2.3505,0.0592,0.1544,0.0064
dCLNR,CiteSeer,50,512,0.73,0.0048,-3.7575,0.0075,0.2813,0.0126
GRACE,CiteSeer,50,512,0.7049,0.0144,-2.0704,0.0586,0.17,0.0087
CCA-SSG,CiteSeer,20,512,0.7307,0.0051,-0.7661,0.024,0.0664,0.0029
