model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,ogbn-arxiv,10000,10.0,,0.4642,0.0027,-1.7429,0.1224,0.273,0.0165
dCLNR,ogbn-arxiv,10000,10.0,,0.4383,0.0061,-2.1309,0.0989,0.3403,0.0137
GRACE,ogbn-arxiv,10000,10.0,,0.4737,0.0074,-1.9245,0.0063,0.4321,0.0052
CCA-SSG,ogbn-arxiv,100,10.0,,0.3008,0.0026,-0.6675,0.097,0.2141,0.0406
