model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,Cora,50,512,0.8415,0.0068,-2.8838,0.041,0.2609,0.0113
nCLNR,Cora,50,512,0.83,0.0072,-3.3229,0.0241,0.3481,0.0157
CLNR,Cora,50,512,0.8421,0.0055,-2.8854,0.0291,0.2616,0.0114
bCLNR,Cora,50,512,0.8393,0.0077,-2.8714,0.0353,0.2573,0.0164
dCLNR,Cora,50,512,0.8321,0.01,-3.3171,0.0167,0.3574,0.0238
GRACE,Cora,50,512,0.78,0.0124,-1.9592,0.0976,0.2157,0.0179
CCA-SSG,Cora,50,512,0.8431,0.0056,-3.0359,0.0353,0.284,0.0148
