model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
GRACE,ogbn-arxiv,10000,512,0.6972,0.0014,-3.1601,0.0275,0.1336,0.0008
CLNR,ogbn-arxiv,10000,512,0.7002,0.0007,-1.7118,0.0807,0.0727,0.0034
