model,dataset,epochs,out_dim,acc_mean,acc_std
GRACE,PubMed,1000,64,0.8032,0.0077
GRACE,PubMed,1000,126,0.8118,0.0084
GRACE,PubMed,1000,256,0.8163,0.0087
GRACE,PubMed,1000,512,0.8119,0.0114
CCA-SSG,PubMed,100,64,0.7218,0.0187
CCA-SSG,PubMed,100,126,0.7675,0.0076
CCA-SSG,PubMed,100,256,0.8016,0.0065
CCA-SSG,PubMed,100,512,0.8095,0.0029
