model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
CLNR,ogbn-arxiv,5000,512,0.705,0.0015,-3.4869,0.0108,0.1748,0.0013,5235661749.297
dCLNR,ogbn-arxiv,5000,512,0.7038,0.0016,-3.4995,0.011,0.1677,0.0009,6513301677.3822
