model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
GRACE,ogbn-arxiv,10000,512,0.6978,0.0002,-3.4046,0.0012,0.1314,0.0017,4043.7359
GCLNR,ogbn-arxiv,5000,512,0.7111,0.0016,-3.5001,0.0109,0.1668,0.0052,30470885642.8713
