model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,ogbn-arxiv,10000,1.0,,0.5715,0.0006,-2.511,0.0139,0.2823,0.0026
dCLNR,ogbn-arxiv,10000,1.0,,0.5635,0.0065,-2.7487,0.0417,0.3115,0.0072
GRACE,ogbn-arxiv,10000,1.0,,0.5716,0.0032,-2.2607,0.0285,0.356,0.0028
CCA-SSG,ogbn-arxiv,100,1.0,,0.4535,0.0025,-0.1754,0.016,0.0081,0.0009
