model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Computers,200,,,0.8946,0.0037,-2.89,0.0591,0.0783,0.0035
CLNR,Computers,200,,,0.8583,0.0039,-2.1596,0.0938,0.1537,0.0103
CLNR,Computers,200,,,0.8445,0.0052,-1.5826,0.0982,0.1149,0.0108
CLNR,Computers,200,,,0.8339,0.0044,-1.2293,0.0991,0.091,0.0082
CLNR,Computers,200,,,0.8252,0.0039,-0.9764,0.1082,0.0723,0.0089
