model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,Moon,500,512,0.995,0.0044,-3.6382,0.0066,0.01,0.0003
nCLNR,Moon,500,512,0.9862,0.0077,-3.7965,0.0029,0.0087,0.0002
CLNR,Moon,500,512,0.9951,0.004,-3.636,0.0127,0.0099,0.0003
bCLNR,Moon,500,512,0.9919,0.0061,-3.6447,0.0122,0.0099,0.0005
dCLNR,Moon,500,512,0.9853,0.0063,-3.7953,0.0046,0.0088,0.0003
GRACE,Moon,500,512,0.8586,0.0301,-2.1971,0.1367,0.0036,0.001
CCA-SSG,Moon,100,512,0.9773,0.0057,-3.768,0.0097,0.0122,0.0005
