model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
nCLNR,CS,600,512,0.9365,0.0021,-3.6841,0.0035,0.0637,0.0027
CLNR,CS,600,512,0.9352,0.0021,-3.5115,0.0112,0.0569,0.0021
dCLNR,CS,600,512,0.9362,0.0016,-3.6845,0.0042,0.0644,0.0031
GRACE,CS,1000,512,0.9365,0.0021,-3.2315,0.0176,0.0463,0.0016
CCA-SSG,CS,50,512,0.9298,0.0029,-2.775,0.0598,0.0676,0.0036
