model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
GRACE,Computers,1000,,,0.8895,0.0034,-3.0424,0.0236,0.0814,0.003
GRACE,Computers,1000,,,0.8464,0.0041,-2.5523,0.0557,0.2004,0.0105
GRACE,Computers,1000,,,0.8206,0.0047,-2.1087,0.3722,0.1797,0.0457
GRACE,Computers,1000,,,0.8017,0.0094,-1.328,0.6677,0.1039,0.0775
GRACE,Computers,1000,,,0.7858,0.012,-0.8528,0.5522,0.0579,0.0596
