model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CCA-SSG,Computers,50,,,0.8875,0.0044,-2.0787,0.0409,0.0527,0.0026
CCA-SSG,Computers,50,,,0.85,0.0053,-1.309,0.0325,0.0805,0.0049
CCA-SSG,Computers,50,,,0.8267,0.0056,-0.9512,0.0225,0.0602,0.0018
CCA-SSG,Computers,50,,,0.8107,0.0053,-0.7171,0.0398,0.0457,0.0035
CCA-SSG,Computers,50,,,0.7975,0.0073,-0.5219,0.0445,0.0331,0.0029
