model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,PubMed,600,,True,0.8302,0.0064,-1.77,0.0822,0.1455,0.0091
dCLNR,PubMed,600,,True,0.8178,0.0085,-3.1988,0.0126,0.2326,0.0199
GRACE,PubMed,1000,,True,0.8137,0.0107,-2.7269,0.0598,0.2117,0.0114
GRACE_CCA,PubMed,1000,,True,0.7917,0.0094,-3.3858,0.0158,0.3006,0.0144
CCA-SSG,PubMed,100,,True,0.8095,0.0035,-0.4831,0.0228,0.0414,0.0027
dCCA-SSG,PubMed,100,,True,0.7603,0.0124,-0.005,0.0001,0.0012,0.0001
